source,project,mww test (p value): pr lifetime,mww test (p value): merge time,cliff delta (magnitude): pr lifetime,mww test (p value): delivery delay,cliff delta (estimate): delivery delay,cliff delta (magnitude): merge time,cliff delta (magnitude): delivery delay,cliff delta (estimate): pr lifetime,cliff delta (estimate): merge time
author_file,netflix/hystrix,,"0,0113370419",small,"0,00015035","0,209",negligible,small,"0,189","0,14"
your_file,openhab/openhab,8.4e-09,5.79606e-05,small,1.008e-07,0.167566582,negligible,small,0.1812221595,-0.1265018194
author_file,openhab/openhab,,"0,0000357",small,"0,00000004","0,173",negligible,small,"0,194","-0,13"
your_file,owncloud/core,0.0,0.6287376418,small,0.0,-0.1650082822,negligible,small,-0.1594374625,-0.0065002654
author_file,owncloud/core,,"0,8712971826",small,"9,41E-038","-0,173",negligible,small,"-0,171","-0,002"
your_file,photonstorm/phaser,1e-10,1e-10,medium,2.4169e-06,0.2454839809,medium,small,0.3382997371,0.3339541338
author_file,photonstorm/phaser,,"3,91E-010",medium,"5,45E-008","0,283",small,small,"0,366","0,326"
your_file,processing/p5.js,0.8804427653,0.0263000446,negligible,0.6889129583,-0.0264071856,negligible,negligible,0.0099401198,0.1464071856
author_file,processing/p5.js,,"0,0204442427",negligible,"0,7288085019","-0,023",small,negligible,"0,023","0,153"
your_file,puppetlabs/puppet,2.93343e-05,3.5701e-06,small,3.99461e-05,-0.1570023796,small,small,-0.159707716,0.177149733
author_file,puppetlabs/puppet,,"0,000000817",small,"0,0000181","-0,164",small,small,"-0,17","0,188"
your_file,pylons/pyramid,1e-10,2.937e-07,medium,1e-10,0.3396300598,small,medium,0.3380513416,-0.2621156033
author_file,pylons/pyramid,,"0,000000359",medium,"1,32E-012","0,368",small,medium,"0,372","-0,26"
your_file,pyrocms/pyrocms,8.6e-09,0.0200173604,small,1.94e-08,0.2479917411,negligible,small,0.254105236,0.1026954221
author_file,pyrocms/pyrocms,,"0,0144211427",small,"1,25E-008","0,251",negligible,small,"0,252","0,108"
your_file,rails/rails,0.0,0.0114058675,small,0.0,0.2050756325,negligible,small,0.2128985549,0.0654243047
author_file,rails/rails,,"0,01239009",small,"1,46E-015","0,206",negligible,small,"0,216","0,065"
your_file,reactivex/rxjava,0.0,0.0,large,0.0,0.542993892,small,large,0.5739503973,0.2047587186
author_file,reactivex/rxjava,,"4,25E-011",large,"2,6E-073","0,56",small,large,"0,595","0,204"
your_file,refinery/refinerycms,0.0054127776,0.0,negligible,0.0469377581,0.0757377992,large,negligible,0.1060225522,0.47466061
author_file,refinery/refinerycms,,"1,76E-035",negligible,"0,0205747994","0,088",medium,negligible,"0,111","0,474"
your_file,request/request,0.0,0.2585349748,large,0.0,-0.7296169,negligible,large,-0.7446894124,0.0624863777
author_file,request/request,,"0,2422902834",large,"7,98E-042","-0,749",negligible,large,"-0,777","0,065"
your_file,robolectric/robolectric,2.47816e-05,3.4e-09,small,0.0001694287,-0.1719221022,small,small,-0.1927704415,-0.2702747766
author_file,robolectric/robolectric,,"7,66E-010",small,"0,000137971","-0,174",small,small,"-0,196","-0,281"
your_file,roots/sage,1.582e-07,0.5524705256,small,1.051e-07,-0.3067148572,negligible,small,-0.3023958902,-0.0342789598
author_file,roots/sage,,"0,4694585032",small,"0,000000159","-0,302",negligible,small,"-0,303","-0,042"
your_file,saltstack/salt,0.0,0.0,small,0.0,-0.2183089043,medium,small,-0.2069574889,0.3965611414
