project,cliff delta (magnitude): delivery delay: your,cliff delta (magnitude): delivery delay: author,cliff delta (magnitude): delivery delay: result,cliff delta (estimate): delivery delay: your,cliff delta (estimate): delivery delay: author,cliff delta (estimate): delivery delay: result,mww test (p value): delivery delay: your,mww test (p value): delivery delay: author,mww test (p value): delivery delay: result,cliff delta (magnitude): merge time: your,cliff delta (magnitude): merge time: author,cliff delta (magnitude): merge time: result,cliff delta (estimate): merge time: your,cliff delta (estimate): merge time: author,cliff delta (estimate): merge time: result,mww test (p value): merge time: your,mww test (p value): merge time: author,mww test (p value): merge time: result,cliff delta (magnitude): pr lifetime: your,cliff delta (magnitude): pr lifetime: author,cliff delta (magnitude): pr lifetime: result,cliff delta (estimate): pr lifetime: your,cliff delta (estimate): pr lifetime: author,cliff delta (estimate): pr lifetime: result,mww test (p value): pr lifetime: author,mww test (p value): pr lifetime: your,mww test (p value): pr lifetime: result
reactivex/rxjava,,,missing,0.542993892,0.56,close,0.0,2.6e-73,close,,,missing,0.2047587186,0.204,close,0.0,4.25e-11,close,,,missing,0.5739503973,0.595,close,missing,0.0,missing
refinery/refinerycms,,,missing,0.0757377992,0.088,different,0.0469377581,0.0205747994,different,,,missing,0.47466061,0.474,close,0.0,1.76e-35,close,,,missing,0.1060225522,0.111,close,missing,0.0054127776,missing
request/request,,,missing,-0.7296169,-0.749,close,0.0,7.98e-42,close,,,missing,0.0624863777,0.065,close,0.2585349748,0.2422902834,different,,,missing,-0.7446894124,-0.777,close,missing,0.0,missing
robolectric/robolectric,,,missing,-0.1719221022,-0.174,close,0.0001694287,0.000137971,different,,,missing,-0.2702747766,-0.281,close,3.4e-09,7.66e-10,close,,,missing,-0.1927704415,-0.196,close,missing,2.47816e-05,missing
roots/sage,,,missing,-0.3067148572,-0.302,close,1.051e-07,1.59e-07,different,,,missing,-0.0342789598,-0.042,different,0.5524705256,0.4694585032,different,,,missing,-0.3023958902,-0.303,close,missing,1.582e-07,missing
saltstack/salt,,,missing,-0.2183089043,-0.226,close,0.0,1.2e-16,close,,,missing,0.3965611414,0.395,close,0.0,1.78e-47,close,,,missing,-0.2069574889,-0.22,different,missing,0.0,missing
scikit-image/scikit-image,,,missing,0.5460740693,0.571,close,0.0,5.31e-39,close,,,missing,0.1281568778,0.137,different,0.0033804044,0.0017729402,different,,,missing,0.5182781295,0.571,different,missing,0.0,missing
scikit-learn/scikit-learn,,,missing,0.5488900024,0.591,different,0.0,2.12e-62,close,,,missing,0.0987551643,0.091,different,0.0053382318,0.0101209601,different,,,missing,0.5557202769,0.604,different,missing,0.0,missing
scipy/scipy,,,missing,-0.1963972298,-0.2,close,1.108e-07,6.66e-08,different,,,missing,-0.0724682477,-0.076,close,0.0501614828,0.0406434696,different,,,missing,-0.1799807195,-0.187,close,missing,1.1481e-06,missing
sensu/sensu,,,missing,0.3980815569,0.402,close,0.0,5.25e-18,close,,,missing,0.3427809116,0.345,close,0.0,7.84e-14,close,,,missing,0.4412880711,0.448,close,missing,0.0,missing
